statistic,year,sex,age,unit,value
Mean Annual Earnings,2011,Male,15 - 24 years,Euro,18900
Mean Annual Earnings,2011,Male,15 years and over,Euro,45781
Mean Annual Earnings,2011,Male,25 - 29 years,Euro,31135
Mean Annual Earnings,2011,Male,30 - 39 years,Euro,44439
Mean Annual Earnings,2011,Male,40 - 49 years,Euro,55690
Mean Annual Earnings,2011,Male,50 - 59 years,Euro,54603
Mean Annual Earnings,2011,Male,60 years and over,Euro,41581
Mean Annual Earnings,2011,Female,15 - 24 years,Euro,17085
Mean Annual Earnings,2011,Female,15 years and over,Euro,33733
Mean Annual Earnings,2011,Female,25 - 29 years,Euro,29464
Mean Annual Earnings,2011,Female,30 - 39 years,Euro,37293
Mean Annual Earnings,2011,Female,40 - 49 years,Euro,37203
Mean Annual Earnings,2011,Female,50 - 59 years,Euro,34940
Mean Annual Earnings,2011,Female,60 years and over,Euro,25021
Mean Annual Earnings,2012,Male,15 - 24 years,Euro,18314
Mean Annual Earnings,2012,Male,15 years and over,Euro,45452
Mean Annual Earnings,2012,Male,25 - 29 years,Euro,30655
Mean Annual Earnings,2012,Male,30 - 39 years,Euro,43501
Mean Annual Earnings,2012,Male,40 - 49 years,Euro,55395
Mean Annual Earnings,2012,Male,50 - 59 years,Euro,54330
Mean Annual Earnings,2012,Male,60 years and over,Euro,40450
Mean Annual Earnings,2012,Female,15 - 24 years,Euro,16357
Mean Annual Earnings,2012,Female,15 years and over,Euro,33806
Mean Annual Earnings,2012,Female,25 - 29 years,Euro,28830
Mean Annual Earnings,2012,Female,30 - 39 years,Euro,37055
Mean Annual Earnings,2012,Female,40 - 49 years,Euro,37609
Mean Annual Earnings,2012,Female,50 - 59 years,Euro,35102
Mean Annual Earnings,2012,Female,60 years and over,Euro,24468
Mean Annual Earnings,2013,Male,15 - 24 years,Euro,18291
Mean Annual Earnings,2013,Male,15 years and over,Euro,45511
Mean Annual Earnings,2013,Male,25 - 29 years,Euro,30546
Mean Annual Earnings,2013,Male,30 - 39 years,Euro,43088
Mean Annual Earnings,2013,Male,40 - 49 years,Euro,55315
Mean Annual Earnings,2013,Male,50 - 59 years,Euro,54237
Mean Annual Earnings,2013,Male,60 years and over,Euro,40921
Mean Annual Earnings,2013,Female,15 - 24 years,Euro,16031
Mean Annual Earnings,2013,Female,15 years and over,Euro,34058
Mean Annual Earnings,2013,Female,25 - 29 years,Euro,28536
Mean Annual Earnings,2013,Female,30 - 39 years,Euro,36941
Mean Annual Earnings,2013,Female,40 - 49 years,Euro,38118
Mean Annual Earnings,2013,Female,50 - 59 years,Euro,35361
Mean Annual Earnings,2013,Female,60 years and over,Euro,25148
Mean Annual Earnings,2014,Male,15 - 24 years,Euro,18643
Mean Annual Earnings,2014,Male,15 years and over,Euro,45933
Mean Annual Earnings,2014,Male,25 - 29 years,Euro,31088
Mean Annual Earnings,2014,Male,30 - 39 years,Euro,43238
Mean Annual Earnings,2014,Male,40 - 49 years,Euro,55498
Mean Annual Earnings,2014,Male,50 - 59 years,Euro,54725
Mean Annual Earnings,2014,Male,60 years and over,Euro,41383
Mean Annual Earnings,2014,Female,15 - 24 years,Euro,16181
Mean Annual Earnings,2014,Female,15 years and over,Euro,34331
Mean Annual Earnings,2014,Female,25 - 29 years,Euro,28537
Mean Annual Earnings,2014,Female,30 - 39 years,Euro,36924
Mean Annual Earnings,2014,Female,40 - 49 years,Euro,38648
Mean Annual Earnings,2014,Female,50 - 59 years,Euro,35650
Mean Annual Earnings,2014,Female,60 years and over,Euro,25684
Mean Annual Earnings,2015,Male,15 - 24 years,Euro,19133
Mean Annual Earnings,2015,Male,15 years and over,Euro,46604
Mean Annual Earnings,2015,Male,25 - 29 years,Euro,31800
Mean Annual Earnings,2015,Male,30 - 39 years,Euro,43831
Mean Annual Earnings,2015,Male,40 - 49 years,Euro,56109
Mean Annual Earnings,2015,Male,50 - 59 years,Euro,55337
Mean Annual Earnings,2015,Male,60 years and over,Euro,41524
Mean Annual Earnings,2015,Female,15 - 24 years,Euro,16739
Mean Annual Earnings,2015,Female,15 years and over,Euro,35012
Mean Annual Earnings,2015,Female,25 - 29 years,Euro,29038
Mean Annual Earnings,2015,Female,30 - 39 years,Euro,37400
Mean Annual Earnings,2015,Female,40 - 49 years,Euro,39597
Mean Annual Earnings,2015,Female,50 - 59 years,Euro,36407
Mean Annual Earnings,2015,Female,60 years and over,Euro,26654
Mean Annual Earnings,2016,Male,15 - 24 years,Euro,19867
Mean Annual Earnings,2016,Male,15 years and over,Euro,47108
Mean Annual Earnings,2016,Male,25 - 29 years,Euro,32760
Mean Annual Earnings,2016,Male,30 - 39 years,Euro,44569
Mean Annual Earnings,2016,Male,40 - 49 years,Euro,56236
Mean Annual Earnings,2016,Male,50 - 59 years,Euro,55636
Mean Annual Earnings,2016,Male,60 years and over,Euro,42091
Mean Annual Earnings,2016,Female,15 - 24 years,Euro,17332
Mean Annual Earnings,2016,Female,15 years and over,Euro,35329
Mean Annual Earnings,2016,Female,25 - 29 years,Euro,29592
Mean Annual Earnings,2016,Female,30 - 39 years,Euro,37539
Mean Annual Earnings,2016,Female,40 - 49 years,Euro,40123
Mean Annual Earnings,2016,Female,50 - 59 years,Euro,36676
Mean Annual Earnings,2016,Female,60 years and over,Euro,27240
Mean Annual Earnings,2017,Male,15 - 24 years,Euro,20554
Mean Annual Earnings,2017,Male,15 years and over,Euro,48214
Mean Annual Earnings,2017,Male,25 - 29 years,Euro,34157
Mean Annual Earnings,2017,Male,30 - 39 years,Euro,46019
Mean Annual Earnings,2017,Male,40 - 49 years,Euro,56989
Mean Annual Earnings,2017,Male,50 - 59 years,Euro,56515
Mean Annual Earnings,2017,Male,60 years and over,Euro,43039
Mean Annual Earnings,2017,Female,15 - 24 years,Euro,17800
Mean Annual Earnings,2017,Female,15 years and over,Euro,36288
